Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Cabo Verde,CPV,79.67380672,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Cambodia,KHM,..,281.5754411,397.6187363,418.5835646,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Cameroon,CMR,435.7500796,418.0908922,336.3587322,340.9477351,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Canada,CAN,7630.092306,8265.079925,7743.725742,7897.855615,7631.34157,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Chad,TCD,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Chile,CHL,1049.950805,1639.401024,2209.860008,2041.193224,2016.687461,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,China,CHN,766.9953294,898.9873131,2204.243299,2224.354898,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Colombia,COL,742.9929451,658.2539114,727.8467267,728.5650331,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Comoros,COM,41.39641225,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"Congo, Dem. Rep.",COD,327.845045,286.051718,374.1520166,377.7181548,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"Congo, Rep.",COG,330.0400137,226.5045325,543.7131555,531.4836959,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Costa Rica,CRI,531.1268603,722.1524565,1010.72746,1012.684011,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Cote d'Ivoire,CIV,364.8128464,404.1707367,602.1414672,603.3722604,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Croatia,HRV,1981.189224,1876.805775,1983.867947,1897.840665,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Cuba,CUB,1638.15999,1146.912183,1018.652169,1032.392089,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Curacao,CUW,10030.15131,15720.11056,11727.50972,12650.86044,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Cyprus,CYP,1731.277108,2253.588502,1654.416402,1676.214427,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Czechia,CZE,4796.941458,3988.038494,3989.991414,3915.113582,3860.002964,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Denmark,DNK,3376.783307,3489.614796,3125.33776,2872.573547,2816.614565,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Djibouti,DJI,225.3339086,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Dominica,DMA,304.710554,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Dominican Republic,DOM,563.1684314,845.3179571,751.5542651,743.2453343,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Ecuador,ECU,605.7537548,698.1917485,843.1454732,888.6219659,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"Egypt, Arab Rep.",EGY,563.6827329,568.6839615,803.4316689,782.7631118,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,El Salvador,SLV,459.96435,665.7962548,644.8504456,654.7800911,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Eritrea,ERI,..,295.8322189,241.9603157,245.0330608,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Estonia,EST,6232.731998,3374.70839,4623.279112,4592.616457,4173.326583,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Eswatini,SWZ,361.5863553,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Ethiopia,ETH,479.0007735,472.7322006,483.5346713,484.9604347,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Fiji,FJI,366.2163166,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Finland,FIN,5691.571186,6262.192079,6116.227294,6213.357766,5924.700125,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,France,FRA,3859.28383,4134.874579,3833.324932,3659.087795,3692.017833,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Gabon,GAB,1201.801983,1155.305652,2783.421633,2580.438314,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"Gambia, The",GMB,59.37973373,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Georgia,GEO,2585.263224,703.7218083,1048.341057,1180.272753,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Germany,DEU,4421.364531,4094.06036,3939.529563,3779.461921,3817.549415,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Ghana,GHA,342.5285923,319.1561548,325.2470055,320.3896404,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Gibraltar,GIB,2106.27082,4608.665874,5672.148345,6040.459756,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Greece,GRC,2102.677685,2506.639948,2128.010669,2123.897891,2182.071093,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Grenada,GRD,428.8307268,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Guatemala,GTM,487.4107125,607.4955299,800.6522343,863.5689345,..,..,..,..,..,..,..,..
